Rank,Team,2017,Home,Away,2016
1,Houston,0.278,0.28,0.276,0.247
2,Colorado,0.273,0.298,0.249,0.275
3,Miami,0.267,0.262,0.272,0.263
4,Washington,0.264,0.285,0.242,0.255
5,Atlanta,0.263,0.264,0.261,0.255
6,Cleveland,0.26,0.261,0.259,0.259
7,Baltimore,0.26,0.268,0.252,0.255
8,Minnesota,0.26,0.268,0.251,0.251
9,Kansas City,0.259,0.262,0.257,0.261
10,Seattle,0.259,0.263,0.255,0.259
11,Boston,0.258,0.271,0.246,0.281
12,Detroit,0.258,0.276,0.24,0.267
13,NY Yankees,0.258,0.264,0.252,0.252
14,St. Louis,0.256,0.259,0.254,0.255
15,Chi Sox,0.256,0.251,0.261,0.257
16,Arizona,0.254,0.275,0.234,0.261
17,Cincinnati,0.253,0.254,0.253,0.256
18,Chi Cubs,0.251,0.259,0.243,0.254
19,NY Mets,0.25,0.239,0.261,0.245
20,Philadelphia,0.25,0.252,0.247,0.24
21,Milwaukee,0.249,0.248,0.251,0.244
22,SF Giants,0.249,0.251,0.247,0.258
23,LA Dodgers,0.248,0.251,0.246,0.247
24,Oakland,0.246,0.256,0.237,0.246
25,Tampa Bay,0.245,0.245,0.244,0.243
26,Texas,0.244,0.265,0.224,0.261
27,Pittsburgh,0.244,0.253,0.235,0.257
28,LA Angels,0.243,0.249,0.237,0.26
29,Toronto,0.24,0.244,0.236,0.247
30,San Diego,0.234,0.234,0.233,0.235
