Rk,Name,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,Paolo Espino\espinpa01,3,1,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,1,0,0,0,0,0,0,1.000,300,165
2,Stephen Vogt\vogtst01,23,17,67,64,10,21,4,0,5,10,0,0,3,14,.328,.358,.625,.983,40,0,0,0,0,0,2,.356,173,151
3,Neil Walker\walkene01,19,17,76,60,12,18,5,0,3,7,0,0,15,15,.300,.447,.533,.981,32,2,1,0,0,1,1,.357,145,156
4,Eric Thames\thameer01,72,64,279,232,43,57,10,0,20,38,3,2,43,88,.246,.373,.547,.920,127,3,4,0,0,4,0,.298,110,137
5,Domingo Santana\santado01,79,72,309,268,50,68,12,0,19,51,10,1,38,94,.254,.350,.511,.861,137,4,2,0,1,1,3,.314,96,122
6,Eric Sogard\sogarer01,51,33,158,133,19,41,9,1,2,10,1,2,23,21,.308,.414,.436,.850,58,4,1,1,0,1,0,.355,121,124
7,Brett Phillips\phillbr02,18,11,42,39,4,12,1,0,2,7,3,0,2,12,.308,.357,.487,.844,19,0,1,0,0,1,1,.400,110,119
8,Ryan Braun\braunry02,56,54,226,204,32,56,17,1,7,26,4,2,20,46,.275,.341,.471,.811,96,7,1,0,1,2,2,.322,98,110
9,Travis Shaw\shawtr01,74,73,309,276,41,72,16,0,13,48,5,0,27,74,.261,.330,.460,.790,127,11,3,0,3,3,1,.307,84,104
10,Kirk Nieuwenhuis\nieuwki01,9,3,19,16,3,3,1,0,1,1,0,0,3,9,.188,.316,.438,.753,7,0,0,0,0,0,0,.333,185,95
11,Orlando Arcia\arciaor01,77,66,263,246,30,69,10,1,8,26,3,1,15,45,.280,.323,.427,.750,105,6,1,0,1,5,5,.314,105,95
12,Manny Pina\pinama01,54,43,182,170,23,48,8,0,6,27,1,0,6,33,.282,.313,.435,.748,74,4,3,0,3,0,1,.313,98,94
13,Keon Broxton\broxtke01,75,57,231,208,35,47,9,3,10,25,11,5,20,76,.226,.303,.442,.745,92,2,3,0,0,1,3,.303,107,92
14,Jonathan Villar\villajo01,66,51,243,225,31,59,11,1,7,26,13,5,18,79,.262,.317,.413,.730,93,0,0,0,0,0,2,.374,119,90
15,Jett Bandy\bandyje01,33,23,98,89,10,20,5,0,4,12,1,0,6,27,.225,.296,.416,.712,37,2,3,0,0,0,0,.276,122,84
16,Nick Franklin\frankni01,25,5,37,34,4,7,2,0,2,6,2,0,1,8,.206,.270,.441,.711,15,0,2,0,0,0,1,.208,156,82
17,Hernan Perez\perezhe01,75,49,237,221,24,55,13,2,7,28,8,1,12,41,.249,.284,.421,.705,93,4,0,1,3,0,1,.273,100,82
18,Jesus Aguilar\aguilje01,70,27,156,142,17,34,8,1,4,18,0,0,12,50,.239,.301,.394,.696,56,3,1,0,1,0,1,.337,69,81
19,Wily Peralta\peralwi01,10,5,9,8,0,2,0,0,0,1,0,0,1,3,.250,.333,.250,.583,2,0,0,0,0,0,0,.400,125,57
20,Lewis Brinson\brinsle01,11,6,26,22,0,2,0,1,0,0,0,0,4,8,.091,.231,.182,.413,4,0,0,0,0,1,0,.143,64,11
21,Brent Suter\suterbr01,14,8,13,11,0,2,0,0,0,1,0,0,0,5,.182,.182,.182,.364,2,0,0,2,0,0,0,.333,95,-4
22,Zach Davies\davieza02,17,17,32,25,4,2,1,0,0,1,0,0,4,8,.080,.207,.120,.327,3,0,0,3,0,0,0,.118,60,-10
23,Chase Anderson\anderch01,11,11,25,25,0,3,1,0,0,1,0,0,0,15,.120,.120,.160,.280,4,0,0,0,0,0,0,.300,93,-27
24,Jimmy Nelson\nelsoji02,15,15,30,28,0,2,0,0,0,1,0,0,1,17,.071,.103,.071,.175,2,0,0,1,0,0,0,.182,53,-53
25,Brandon Woodruff\woodrbr01,6,6,10,8,1,0,0,0,0,0,0,0,1,2,.000,.111,.000,.111,0,0,0,1,0,0,0,.000,-59,-67
26,Matt Garza\garzama01,14,12,21,21,0,1,0,0,0,1,0,0,0,7,.048,.048,.048,.095,1,0,0,0,0,0,0,.071,-1,-75
27,Jeremy Jeffress\jeffrje01,10,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
28,Michael Blazek\blazemi01,1,0,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,1,0,0,0,0,0,.000,,-100
29,Junior Guerra\guerrju02,13,7,9,6,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,3,0,0,0,.000,,-100
30,Rob Scahill\scahiro01,8,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
31,Tommy Milone\milonto01,4,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
32,Jhan Marinez\marinjh01,10,0,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
33,Andrew Susac\susacan01,5,1,7,7,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
34,Josh Hader\haderjo01,13,0,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,-100
35,Wei-Chung Wang\wangwe01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
36,Quintin Berry\berryqu01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
37,Jacob Barnes\barneja01,43,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
38,Aaron Wilkerson\wilkeaa01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
39,Taylor Williams\willita01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
40,Taylor Jungmann\jungmta01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
41,Anthony Swarzak\swarzan01,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
42,Tyler Webb\webbty01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
43,Jared Hughes\hugheja02,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
44,Corey Knebel\knebeco01,41,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
45,Oliver Drake\drakeol01,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
46,David Goforth\goforda01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
47,Carlos Torres\torreca01,36,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
48,Neftali Feliz\felizne01,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,
,Team Total,1274,756,3125,2799,393,702,143,11,120,372,65,19,275,809,.251,.322,.438,.761,1227,53,26,12,13,20,24,.309,102,97
