team, G, W, L, RS, RA, split
astros, 162, 101, 61, 896, 700, total
astros, 81, 48, 33, 395, 327, home
astros, 81, 53, 28, 501, 373, away
angels, 162, 80, 82, 710, 709, total
angels, 81, 43, 38, 356, 335, home
angels, 81, 37, 44, 354, 374, away
mariners, 162, 78, 84, 750, 772, total
mariners, 81, 40, 41, 370, 358, home
mariners, 81, 38, 43, 380, 414, away
rangers, 162, 78, 84, 799, 816, total
rangers, 81, 41, 40, 449, 437, home
rangers, 81, 37, 44, 350, 379, away
athletics, 162, 75, 87, 739, 826, total
athletics, 81, 46, 35, 417, 404, home
athletics, 81, 29, 52, 322, 422, away
tigers, 162, 64, 98, 735, 894, total
tigers, 81, 34, 47, 416, 462, home
tigers, 81, 30, 51, 319, 432, away
whitesox, 162, 67, 95, 706, 820, total
whitesox, 81, 39, 42, 366, 398, home
whitesox, 81, 28, 53, 340, 422, away
royals, 162, 80, 82, 702, 791, total
royals, 81, 43, 38, 339, 379, home
royals, 81, 37, 44, 363, 412, away
twins, 162, 85, 77, 815, 788, total
twins, 81, 41, 40, 420, 418, home
twins, 81, 44, 37, 395, 370, away
indians, 162, 102, 60, 818, 564, total
indians, 81, 49, 32, 406, 275, home
indians, 81, 53, 28, 412, 289, away
orioles, 162, 75, 87, 743, 841, total
orioles, 81, 46, 35, 395, 407, home
orioles, 81, 29, 52, 348, 434, away
bluejays, 162, 76, 86, 693, 784, total
bluejays, 81, 42, 39, 332, 386, home
bluejays, 81, 34, 47, 361, 398, away
rays, 162, 80, 82, 694, 704, total
rays, 81, 42, 39, 344, 319, home
rays, 81, 38, 43, 350, 385, away
yankees, 162, 91, 71, 858, 660, total
yankees, 81, 51, 30, 451, 315, home
yankees, 81, 40, 41, 407, 345, away
redsox, 162, 93, 69, 785, 668, total
redsox, 81, 48, 33, 387, 349, home
redsox, 81, 45, 36, 398, 319, away
giants, 162, 64, 98, 639, 776, total
giants, 81, 38, 43, 316, 334, home
giants, 81, 26, 55, 323, 442, away
padres, 162, 71, 91, 604, 816, total
padres, 81, 43, 38, 302, 341, home
padres, 81, 28, 53, 302, 475, away
rockies, 162, 87, 75, 824, 757, total
rockies, 81, 46, 35, 488, 415, home
rockies, 81, 41, 40, 336, 342, away
diamondbacks, 162, 93, 69, 812, 659, total
diamondbacks, 81, 52, 29, 457, 346, home
diamondbacks, 81, 41, 40, 355, 313, away
dodgers, 162, 104, 58, 770, 580, total
dodgers, 81, 57, 24, 398, 267, home
dodgers, 81, 47, 34, 372, 313, away
nationals, 162,  97,  65, 819,  672, total
nationals, 81 , 47, 34, 421, 345, home
nationals, 81, 50, 31, 398, 327, away
marlins, 162, 77, 85, 778, 822, total
marlins, 81, 43, 38, 372, 369, home
marlins, 81, 34, 47, 406, 453, away
braves, 162, 72, 90, 732, 821, total
braves, 81, 37, 44, 346, 421, home
braves, 81, 35, 46, 386, 400, away
mets, 162, 70, 92, 735, 863, total
mets, 81, 37, 44, 344, 394, home
mets, 81, 33, 48, 391, 469, away
phillies, 162, 66, 96, 690, 782, total
phillies, 81, 39, 42, 370, 392, home
phillies, 81, 27, 54, 320, 390, away
cubs, 162, 92, 70, 822, 695, total
cubs, 81, 48, 33, 436, 369, home
cubs, 81, 44, 37, 386, 326, away
brewers, 162, 86, 76, 732, 697, total
brewers, 81, 44, 37, 369, 368, home
brewers, 81, 42, 39, 363, 329, away
cardinals, 162, 83, 79, 761, 705, total
cardinals, 81, 44, 37, 359, 331, home
cardinals, 81,39, 42, 402, 374, away
pirates, 162, 75, 87, 668, 731, total
pirates, 81, 44, 37, 329, 352, home
pirates, 81, 31, 50, 339, 379, away
reds, 162, 68, 94, 753, 869, total
reds, 81, 39, 42, 402, 417, home
reds, 81, 29, 52, 351, 452, away
